CustomerId,Recency,Frequency,Monetary,is_high_risk,total_amount,avg_amount,std_amount,min_amount,max_amount,transaction_count,total_value,avg_value,std_value,min_value,max_value,debit_ratio,credit_ratio,transaction_hour_mean,transaction_day_mean,transaction_month_mean,transaction_year_mean,transaction_dayofweek_mean,weekend_transaction_ratio,primary_channel_woe,primary_category_woe,primary_currency_woe,primary_pricing_woe
CustomerId_1,83,1,10000,0,-10000.0,-10000.0,0.0,-10000.0,-10000.0,1,10000,10000.0,0.0,10000,10000,0.0,1.0,16.0,21.0,11.0,2018.0,2.0,0.0,0.4311943540739834,-0.8430518131541136,0.0,0.7896345235372848
CustomerId_10,83,1,10000,0,-10000.0,-10000.0,0.0,-10000.0,-10000.0,1,10000,10000.0,0.0,10000,10000,0.0,1.0,16.0,21.0,11.0,2018.0,2.0,0.0,0.4311943540739834,-0.8430518131541136,0.0,0.7896345235372848
CustomerId_1001,89,5,30400,0,20000.0,4000.0,6558.963332722634,-5000.0,10000.0,5,30400,6080.0,4100.2438951847735,200,10000,0.6,0.4,7.8,16.0,11.0,2018.0,4.0,0.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1002,25,11,4775,0,4225.0,384.09090909090907,560.4989660196449,-75.0,1500.0,11,4775,434.09090909090907,518.8054461058509,25,1500,0.45454545454545453,0.5454545454545454,13.454545454545455,14.727272727272727,8.636363636363637,2018.2727272727273,2.909090909090909,0.18181818181818182,0.4311943540739834,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1003,11,6,32000,0,20000.0,3333.3333333333335,6030.478145774734,-5000.0,10000.0,6,32000,5333.333333333333,3945.461527713414,1000,10000,0.6666666666666666,0.3333333333333333,14.333333333333334,1.0,2.0,2019.0,4.0,0.0,-0.33750847788543664,-0.8430518131541136,0.0,-0.3872715751354502
CustomerId_1004,52,1,2000,0,2000.0,2000.0,0.0,2000.0,2000.0,1,2000,2000.0,0.0,2000,2000,1.0,0.0,18.0,22.0,12.0,2018.0,5.0,1.0,-0.33750847788543664,-0.8430518131541136,0.0,0.7896345235372848
CustomerId_1005,46,9,61200,0,48800.0,5422.222222222223,5983.6815126178335,-5000.0,10000.0,9,61200,6800.0,4106.093033529562,200,10000,0.6666666666666666,0.3333333333333333,10.11111111111111,28.0,12.0,2018.0,4.0,0.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1006,64,1,1000,0,1000.0,1000.0,0.0,1000.0,1000.0,1,1000,1000.0,0.0,1000,1000,1.0,0.0,7.0,11.0,12.0,2018.0,1.0,0.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1007,81,1,28000,0,28000.0,28000.0,0.0,28000.0,28000.0,1,28000,28000.0,0.0,28000,28000,1.0,0.0,6.0,24.0,11.0,2018.0,5.0,1.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1008,65,2,20000,0,20000.0,10000.0,0.0,10000.0,10000.0,2,20000,10000.0,0.0,10000,10000,1.0,0.0,13.0,9.0,12.0,2018.0,6.0,1.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1009,27,1,500,0,500.0,500.0,0.0,500.0,500.0,1,500,500.0,0.0,500,500,1.0,0.0,6.0,17.0,1.0,2019.0,3.0,0.0,-0.33750847788543664,-0.8430518131541136,0.0,0.7896345235372848
CustomerId_1010,41,7,31975,0,26335.0,3762.1428571428573,4971.798816946486,-1000.0,10000.0,7,31975,4567.857142857143,4887.057752491828,43,10170,0.5714285714285714,0.42857142857142855,11.428571428571429,15.571428571428571,8.857142857142858,2018.2857142857142,3.4285714285714284,0.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1012,4,74,132894,0,124906.0,1687.918918918919,3441.4863138083697,-1100.0,22000.0,74,132894,1795.8648648648648,3385.648564258615,12,22000,0.5675675675675675,0.43243243243243246,16.04054054054054,18.675675675675677,7.851351351351352,2018.3648648648648,2.8783783783783785,0.25675675675675674,-0.33750847788543664,-0.8430518131541136,0.0,1.458347678759948
CustomerId_1014,49,8,763880,0,763880.0,95485.0,119332.84340149493,1000.0,300000.0,8,763880,95485.0,119332.84340149493,1000,300000,1.0,0.0,9.125,25.0,12.0,2018.0,1.0,0.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1016,4,5,32000,0,20000.0,4000.0,6745.368781616021,-5000.0,10000.0,5,32000,6400.0,3781.5340802378078,1000,10000,0.6,0.4,18.0,8.0,2.0,2019.0,4.0,0.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1020,26,203,298605,0,292195.0,1439.384236453202,2500.4482251946347,-100.0,10000.0,203,298605,1470.960591133005,2481.912227571705,10,10000,0.5911330049261084,0.4088669950738916,11.911330049261084,22.788177339901477,10.89655172413793,2018.0197044334975,3.1773399014778323,0.33004926108374383,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1021,77,1,5000,0,5000.0,5000.0,0.0,5000.0,5000.0,1,5000,5000.0,0.0,5000,5000,1.0,0.0,19.0,27.0,11.0,2018.0,1.0,0.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1022,34,1,7000,0,7000.0,7000.0,0.0,7000.0,7000.0,1,7000,7000.0,0.0,7000,7000,1.0,0.0,13.0,9.0,1.0,2019.0,2.0,0.0,-0.33750847788543664,-0.8430518131541136,0.0,-0.3872715751354502
CustomerId_1025,11,16,19800,0,17200.0,1075.0,1803.6536992079898,-1000.0,5000.0,16,19800,1237.5,1688.8852339141738,25,5000,0.6875,0.3125,15.75,20.25,1.25,2019.0,3.9375,0.25,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
CustomerId_1027,0,14,27230,0,26770.0,1912.142857142857,3484.2705418482087,-50.0,10000.0,14,27230,1945.0,3464.629517323272,20,10000,0.5714285714285714,0.42857142857142855,12.857142857142858,10.857142857142858,1.9285714285714286,2019.0,1.6428571428571428,0.0,-0.33750847788543664,-0.3092485788313673,0.0,-0.3872715751354502
